Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
www.gstatic.com           www.gstatic.com           A      Success   Answer      42      4 108.177.9.94
r5---sn-q4flrn7s.googl... r5---sn-q4flrn7s.googl... CNAME  Success   Answer      99      8 r5.sn-q4flrn7s.googlevide...
r5---sn-q4flrn7s.googl... r5.sn-q4flrn7s.googlev... A      Success   Answer      99      4 173.194.24.139
ogs.google.com            ogs.google.com            CNAME  Success   Answer      74      8 www3.l.google.com
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.113
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.101
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.138
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.102
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.100
ogs.google.com            www3.l.google.com         A      Success   Answer      74      4 173.194.70.139
www.googletagmanager.com  www.googletagmanager.com  CNAME  Success   Answer       3      8 www-googletagmanager.l.go...
www.googletagmanager.com  www-googletagmanager.l... A      Success   Answer       3      4 209.85.235.97
bot-framework.azureedg... bot-framework.azureedg... CNAME  Success   Answer     870      8 bot-framework.ec.azureedg...
bot-framework.azureedg... bot-framework.ec.azure... CNAME  Success   Answer     870      8 cs22.wpc.v0cdn.net
bot-framework.azureedg... cs22.wpc.v0cdn.net        A      Success   Answer     870      4 152.199.4.33
thales.cica.es            thales.cica.es            A      Success   Answer   68782      4 150.214.2.44
fp-vs.azureedge.net       fp-vs.azureedge.net       CNAME  Success   Answer     759      8 fp-vs.ec.azureedge.net
fp-vs.azureedge.net       fp-vs.ec.azureedge.net    CNAME  Success   Answer     759      8 cs9.wpc.v0cdn.net
fp-vs.azureedge.net       cs9.wpc.v0cdn.net         A      Success   Answer     759      4 72.21.81.200
fp-vp.azureedge.net       fp-vp.azureedge.net       CNAME  Success   Answer     478      8 fp-vp.ec.azureedge.net
fp-vp.azureedge.net       fp-vp.ec.azureedge.net    CNAME  Success   Answer     478      8 cs9.wpc.v0cdn.net
fp-vp.azureedge.net       cs9.wpc.v0cdn.net         A      Success   Answer     478      4 72.21.81.200
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.113
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.139
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.102
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.138
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.100
i9.ytimg.com              i9.ytimg.com              A      Success   Answer       3      4 64.233.178.101
www.ugr.es                www.ugr.es                A      Success   Answer   71338      4 150.214.204.231
r3---sn-q4flrney.googl... r3---sn-q4flrney.googl... CNAME  Success   Answer    1345      8 r3.sn-q4flrney.googlevide...
r3---sn-q4flrney.googl... r3.sn-q4flrney.googlev... A      Success   Answer    1345      4 172.217.131.40
ssl.gstatic.com           ssl.gstatic.com           A      Success   Answer      42      4 108.177.9.94
r2---sn-q4flrne6.googl... r2---sn-q4flrne6.googl... CNAME  Success   Answer    1432      8 r2.sn-q4flrne6.googlevide...
r2---sn-q4flrne6.googl... r2.sn-q4flrne6.googlev... A      Success   Answer    1432      4 173.194.191.231
assets.ubuntu.com         assets.ubuntu.com         A      Success   Answer     476      4 91.189.91.45
assets.ubuntu.com         assets.ubuntu.com         A      Success   Answer     476      4 91.189.88.180
assets.ubuntu.com         assets.ubuntu.com         A      Success   Answer     476      4 91.189.91.44
assets.ubuntu.com         assets.ubuntu.com         A      Success   Answer     476      4 91.189.88.181
r3---sn-hgn7rn7k.googl... r3---sn-hgn7rn7k.googl... CNAME  Success   Answer    1381      8 r3.sn-hgn7rn7k.googlevide...
r3---sn-hgn7rn7k.googl... r3.sn-hgn7rn7k.googlev... A      Success   Answer    1381      4 172.217.130.200
polyfill.io               polyfill.io               A      Success   Answer    2190      4 151.101.66.109
polyfill.io               polyfill.io               A      Success   Answer    2190      4 151.101.194.109
polyfill.io               polyfill.io               A      Success   Answer    2190      4 151.101.130.109
polyfill.io               polyfill.io               A      Success   Answer    2190      4 151.101.2.109
yoquieroaprobar.es        yoquieroaprobar.es        A      Success   Answer   60786      4 87.98.231.3
